,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,3331,16,5,9740,208,--,467
1,履歴,|,3407,19,6,14690,179,--,191
2,履歴,|,3642,18,5,9550,202,--,460
3,履歴,|,3386,15,7,4980,225,--,562
4,履歴,|,3866,23,6,12980,168,--,438
5,履歴,|,3767,20,6,11560,188,--,118
6,履歴,|,3351,15,5,12500,223,--,276
7,履歴,|,3921,38,6,29620,103,--,4
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,3456,5,5,730,691,--,108
10,履歴,|,3976,35,5,32400,113,--,167
11,履歴,|,5520,49,9,38200,112,--,231
12,履歴,|,4721,46,5,51050,102,--,551
13,履歴,|,4112,28,7,19400,146,--,273
14,履歴,|,3282,15,4,10120,218,--,743
15,履歴,|,4280,25,7,18370,171,--,214
16,履歴,|,4349,25,10,9300,173,--,292
17,履歴,|,3412,19,4,12910,179,--,619
18,履歴,|,3254,12,6,4590,271,--,238
19,履歴,|,4237,35,6,23460,121,--,168
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,3190,10,6,4620,319,--,162
23,履歴,|,3232,13,6,6000,248,--,204
