,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,2950,4,2,3210,737,--,1085
1,履歴,|,4464,34,6,32330,131,--,219
2,履歴,|,4668,33,7,30950,141,--,469
3,履歴,|,4738,33,8,17860,143,--,604
4,履歴,|,4181,39,6,41210,107,--,532
5,履歴,|,3295,9,4,3220,366,--,170
6,履歴,|,3536,13,4,11800,272,--,498
7,履歴,|,4028,21,3,21330,191,--,4
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,4034,20,6,8780,201,--,924
10,履歴,|,3165,4,3,1810,791,--,844
11,履歴,|,5363,39,11,22640,137,--,129
12,履歴,|,5401,45,11,31600,120,--,188
13,履歴,|,4295,24,9,15550,178,--,453
14,履歴,|,4532,30,11,19780,151,--,535
15,履歴,|,5423,49,10,42470,110,--,167
16,履歴,|,4178,24,5,22740,174,--,171
17,履歴,|,3271,10,5,5730,327,--,607
18,履歴,|,2907,3,3,430,969,--,484
19,履歴,|,4185,27,5,20760,155,--,200
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,3910,20,9,8780,195,--,201
23,履歴,|,3531,5,5,440,706,--,140
