,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,5055,36,9,26800,140,--,167
1,履歴,|,4002,37,4,34730,108,--,227
2,履歴,|,3632,25,4,24380,145,--,542
3,履歴,|,3862,19,7,8900,203,--,259
4,履歴,|,3191,11,5,6020,290,--,370
5,履歴,|,4418,32,7,23710,138,--,440
6,履歴,|,2994,11,3,7420,272,--,168
7,履歴,|,3825,21,4,12950,182,--,168
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,3540,18,6,14500,196,--,389
10,履歴,|,3702,20,6,9180,185,--,621
11,履歴,|,4339,27,7,21100,160,--,1026
12,履歴,|,4000,16,4,12650,250,--,169
13,履歴,|,3970,21,4,12030,189,--,708
14,履歴,|,3558,24,5,22730,148,--,388
15,履歴,|,4069,22,7,16370,184,--,105
16,履歴,|,3734,21,7,15970,177,--,423
17,履歴,|,4574,34,8,21180,134,--,234
18,履歴,|,4339,31,8,23050,139,--,171
19,履歴,|,3957,31,4,39090,127,--,1307
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,4271,30,4,29080,142,--,484
23,履歴,|,3947,32,5,35180,123,--,237
