,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,3979,24,8,17770,165,--,471
1,履歴,|,3555,15,6,6120,237,--,266
2,履歴,|,3011,13,3,7400,231,--,866
3,履歴,|,4317,24,4,21320,179,--,754
4,履歴,|,3393,31,7,21950,109,--,438
5,履歴,|,3680,11,7,4600,334,--,170
6,履歴,|,3142,12,5,7890,261,--,434
7,履歴,|,3577,23,5,13340,155,--,727
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,3321,16,7,11570,207,--,168
10,履歴,|,2323,4,3,1820,580,--,991
11,履歴,|,3908,29,4,35120,134,--,419
12,履歴,|,4156,28,9,21320,148,--,159
13,履歴,|,3935,29,8,19200,135,--,348
14,履歴,|,3826,18,7,9440,212,--,456
15,履歴,|,3527,17,7,12960,207,--,169
16,履歴,|,3012,10,3,7390,301,--,819
17,履歴,|,3716,19,3,13050,195,--,371
18,履歴,|,3298,15,5,8800,219,--,167
19,履歴,|,4141,23,9,6120,180,--,283
20,履歴,|,3877,18,9,5600,215,--,326
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,4681,43,8,29430,108,--,251
23,履歴,|,3272,16,8,5330,204,--,575
