,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,4060,21,9,14360,193,--,168
1,履歴,|,4337,24,6,12760,180,--,167
2,履歴,|,4535,34,9,19020,133,--,201
3,履歴,|,4158,30,7,18810,138,--,582
4,履歴,|,5108,43,5,32200,118,--,56
5,履歴,|,4157,30,7,20050,138,--,171
6,履歴,|,3933,15,4,15740,262,--,1025
7,履歴,|,4322,25,4,12920,172,--,716
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,4523,41,7,40510,110,--,250
10,履歴,|,3501,11,5,4610,318,--,288
11,履歴,|,4070,15,9,4600,271,--,146
12,履歴,|,3989,24,6,11860,166,--,418
13,履歴,|,3843,22,8,8980,174,--,108
14,履歴,|,4707,45,5,41760,104,--,676
15,履歴,|,4673,26,11,14150,179,--,355
16,履歴,|,3420,5,3,3280,684,--,1333
17,履歴,|,4628,33,5,33310,140,--,168
18,履歴,|,3963,15,6,7250,264,--,1501
19,履歴,|,3902,19,7,16680,205,--,172
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,4218,23,5,12340,183,--,322
23,履歴,|,4621,32,7,11990,144,--,167
