,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,3009,13,4,5980,231,--,225
1,履歴,|,3318,28,6,19500,118,--,172
2,履歴,|,4307,32,5,30960,134,--,180
3,履歴,|,3330,13,3,11600,256,--,1257
4,履歴,|,2294,13,4,6000,176,--,500
5,履歴,|,5209,54,5,57270,96,--,167
6,履歴,|,2869,20,6,13150,143,--,266
7,履歴,|,3524,15,4,8730,234,--,1353
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,4641,41,10,34340,113,--,167
10,履歴,|,2400,5,3,3190,480,--,170
11,履歴,|,4372,32,6,21770,136,--,277
12,履歴,|,3421,25,9,10740,136,--,170
13,履歴,|,6347,62,8,57010,102,--,169
14,履歴,|,2664,20,4,15850,133,--,178
15,履歴,|,4248,51,5,61120,83,--,124
16,履歴,|,4289,35,8,30380,122,--,169
17,履歴,|,4838,39,8,22740,124,--,176
18,履歴,|,2159,9,5,4460,239,--,203
19,履歴,|,3578,26,5,27560,137,--,111
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,3376,23,6,18850,146,--,175
23,履歴,|,3996,33,9,25410,121,--,259
