,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,4352,22,5,10150,197,--,349
1,履歴,|,3742,15,5,11540,249,--,170
2,履歴,|,4288,29,9,19440,147,--,285
3,履歴,|,3865,26,7,21640,148,--,213
4,履歴,|,3898,24,7,22500,162,--,439
5,履歴,|,3270,18,4,12980,181,--,573
6,履歴,|,3987,26,9,20270,153,--,369
7,履歴,|,3114,16,3,12980,194,--,499
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,4492,32,6,29230,140,--,172
10,履歴,|,4647,51,4,51680,91,--,185
11,履歴,|,3190,15,5,6000,212,--,539
12,履歴,|,2966,15,3,14340,197,--,118
13,履歴,|,3975,21,5,18520,189,--,168
14,履歴,|,4075,24,6,14340,169,--,238
15,履歴,|,3345,12,5,8790,278,--,167
16,履歴,|,3156,10,4,6010,315,--,857
17,履歴,|,4403,36,8,23680,122,--,598
18,履歴,|,4292,32,6,24570,134,--,151
19,履歴,|,3358,13,6,7640,258,--,1111
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,4630,28,6,16050,165,--,259
23,履歴,|,3794,26,6,15330,145,--,334
