,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,4043,39,6,35410,103,--,254
1,履歴,|,2401,7,5,1830,343,--,317
2,履歴,|,3260,19,5,14390,171,--,167
3,履歴,|,3212,16,4,11590,200,--,587
4,履歴,|,3928,28,8,18040,140,--,171
5,履歴,|,4471,32,8,22920,139,--,368
6,履歴,|,3498,13,5,8780,269,--,507
7,履歴,|,2999,7,2,7360,428,--,1287
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,3922,24,7,19810,163,--,187
10,履歴,|,3544,34,7,30490,104,--,167
11,履歴,|,4607,35,8,30730,131,--,844
12,履歴,|,3512,17,5,9010,206,--,398
13,履歴,|,2692,16,2,19830,168,--,168
14,履歴,|,3263,34,4,37340,95,--,105
15,履歴,|,3935,27,5,14350,145,--,306
16,履歴,|,4083,27,8,19270,151,--,180
17,履歴,|,3053,15,3,7410,203,--,167
18,履歴,|,2248,19,3,17000,118,--,167
19,履歴,|,2007,5,3,3220,401,--,834
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,3675,20,3,18470,183,--,210
23,履歴,|,3582,21,4,11110,170,--,170
