,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,2724,7,4,4220,389,--,167
1,履歴,|,4062,29,6,15760,140,--,170
2,履歴,|,3202,14,8,4600,228,--,222
3,履歴,|,3534,16,6,11580,220,--,448
4,履歴,|,3772,18,7,11810,209,--,171
5,履歴,|,4130,34,8,24860,121,--,206
6,履歴,|,4058,18,6,5950,225,--,558
7,履歴,|,4622,46,8,44240,100,--,391
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,3596,19,3,17130,189,--,187
10,履歴,|,4208,26,8,11140,161,--,169
11,履歴,|,3995,20,7,11290,199,--,298
12,履歴,|,4757,28,9,12690,169,--,173
13,履歴,|,3886,22,4,23560,176,--,205
14,履歴,|,2631,6,3,3210,438,--,1014
15,履歴,|,5633,51,8,52000,110,--,776
16,履歴,|,5114,43,12,30050,118,--,281
17,履歴,|,4393,49,9,49120,89,--,258
18,履歴,|,4914,39,5,31710,126,--,186
19,履歴,|,4607,25,11,9080,184,--,323
20,履歴,|,3864,31,6,17500,124,--,462
21,履歴,|,2153,21,3,25110,102,--,427
22,履歴,|,4484,40,7,35030,112,--,505
23,履歴,|,3387,12,6,7360,282,--,148
