,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,5226,49,7,50950,106,--,386
1,履歴,|,3459,19,7,11550,182,--,18
2,履歴,|,3476,24,5,15750,144,--,561
3,履歴,|,3280,10,3,4620,328,--,505
4,履歴,|,4253,36,8,32560,118,--,276
5,履歴,|,4366,29,8,18050,150,--,163
6,履歴,|,4100,24,6,15750,170,--,180
7,履歴,|,3071,7,5,3220,438,--,4
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,3997,24,6,19930,166,--,114
10,履歴,|,3697,21,10,9560,176,--,299
11,履歴,|,4066,31,6,29340,131,--,678
12,履歴,|,3299,13,5,5990,253,--,423
13,履歴,|,4040,24,7,13070,168,--,936
14,履歴,|,3968,24,5,19700,165,--,564
15,履歴,|,5180,47,9,39790,110,--,170
16,履歴,|,4115,32,9,22480,128,--,111
17,履歴,|,4796,33,5,28540,145,--,171
18,履歴,|,4522,37,8,20150,122,--,176
19,履歴,|,3482,11,7,4570,316,--,162
20,履歴,|,0,0,0,0,--,--,--
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,5070,48,5,51570,105,--,165
23,履歴,|,3680,15,4,7410,245,--,170
