,大当り回数,時間,スタート回数
1,--,--,260
2,9,19:38,177
3,8,19:05,79
4,7,19:02,843
5,6,14:39,2
6,5,14:36,48
7,4,14:32,27
8,3,14:28,110
9,2,13:36,301
10,1,12:15,530
