,大当り回数,時間,スタート回数
1,--,--,929
2,14,17:18,222
3,13,16:22,123
4,12,15:56,73
5,11,15:48,41
6,10,15:34,119
7,9,15:05,59
8,8,14:47,11
9,7,14:46,40
10,6,14:26,2
11,5,14:25,2
12,4,14:23,30
13,3,14:19,94
14,2,14:10,629
15,1,11:19,93
