,大当り回数,時間,スタート回数
1,--,--,0
2,26,22:26,1
3,25,22:24,1
4,24,22:22,1
5,23,22:20,1
6,22,22:19,951
7,21,17:31,1
8,20,17:29,1
9,19,17:27,1
10,18,17:25,1
11,17,17:23,2
12,16,17:22,133
13,15,16:22,1
14,14,16:20,1
15,13,16:18,1
16,12,16:16,1
17,11,16:14,1
18,10,16:12,1
19,9,16:11,1
20,8,16:09,5
21,7,16:08,220
22,6,14:48,101
23,5,14:07,919
24,4,10:19,2
