,大当り回数,時間,スタート回数
1,--,--,256
2,43,20:12,29
3,42,20:11,28
4,41,20:08,5
5,40,20:06,5
6,39,20:02,45
7,38,19:44,38
8,37,19:40,59
9,36,19:37,176
10,35,18:39,29
11,34,18:37,34
12,33,18:35,9
13,32,18:32,7
14,31,18:29,111
15,30,17:55,2
16,29,17:52,20
17,28,17:49,17
18,27,17:46,966
19,26,12:34,82
20,25,12:31,31
21,24,12:29,13
22,23,12:28,61
23,22,12:25,10
24,21,12:24,1
