,大当り回数,時間,スタート回数
1,--,--,470
2,14,19:39,1
3,13,19:38,1
4,12,19:36,1
5,11,19:34,1
6,10,19:32,1
7,9,19:30,4
8,8,19:29,314
9,7,16:47,1
10,6,16:45,1
11,5,16:43,1
12,4,16:41,2
13,3,16:39,1
14,2,16:37,1
15,1,16:36,858
