,大当り回数,時間,スタート回数
1,--,--,412
2,21,14:16,1
3,20,14:14,2
4,19,14:12,1
5,18,14:09,1
6,17,14:08,1
7,16,14:06,1
8,15,14:04,2
9,14,14:02,161
10,13,13:17,1
11,12,13:15,2
12,11,13:12,1
13,10,13:11,3
14,9,13:09,223
15,8,12:18,2
16,7,12:15,1
17,6,12:13,3
18,5,12:12,45
19,4,11:59,1
20,3,11:57,4
21,2,11:56,215
22,1,10:51,201
