,大当り回数,時間,スタート回数
1,--,--,41
2,15,21:27,1
3,14,21:25,381
4,13,19:46,1
5,12,19:45,88
6,11,19:42,38
7,10,19:37,669
8,9,16:44,35
9,8,16:40,573
10,7,14:41,13
11,6,14:40,70
12,5,14:35,69
13,4,14:30,9
14,3,14:24,27
15,2,14:20,578
16,1,11:46,239
