,大当り回数,時間,スタート回数
1,--,--,79
2,24,21:19,1
3,23,21:17,2
4,22,21:14,5
5,21,21:12,4
6,20,20:53,2
7,19,20:51,1
8,18,20:49,1
9,17,20:47,5
10,16,20:45,599
