,大当り回数,時間,スタート回数
1,--,--,422
2,29,20:38,35
3,28,20:36,19
4,27,20:33,19
5,26,20:30,3
6,25,20:28,407
7,24,18:13,13
8,23,18:12,10
9,22,18:10,8
10,21,18:07,81
11,20,18:01,226
12,19,17:02,85
13,18,16:59,3
14,17,16:57,66
15,16,16:55,208
16,15,16:47,61
17,14,16:45,10
18,13,16:43,32
19,12,16:39,3
20,11,16:36,5
21,10,16:32,463
22,9,14:50,5
23,8,14:49,27
24,7,14:47,18
