,大当り回数,時間,スタート回数
1,--,--,182
2,31,20:53,1
3,30,20:51,5
4,29,20:50,31
5,28,20:40,164
6,27,19:26,2
7,26,19:22,2
8,25,19:20,1
9,24,19:18,1
10,23,19:16,1
11,22,19:14,4
12,21,19:13,8
13,20,19:05,4
14,19,19:04,105
15,18,18:34,275
16,17,17:16,1
17,16,17:14,1
18,15,17:13,5
19,14,17:09,76
20,13,16:45,1
21,12,16:43,1
22,11,16:41,1
23,10,16:35,5
24,9,16:34,45
