,大当り回数,時間,スタート回数
1,--,--,382
2,9,19:15,216
3,8,18:18,6
4,7,18:14,229
5,6,17:06,11
6,5,17:00,485
7,4,14:40,2
8,3,14:38,35
9,2,14:34,451
10,1,11:56,346
