,大当り回数,時間,スタート回数
1,--,--,150
2,14,20:42,47
3,13,19:20,49
4,12,19:18,28
5,11,19:16,84
6,10,19:13,51
7,9,19:07,15
8,8,19:05,42
9,7,18:56,538
10,6,14:26,14
11,5,14:23,5
12,4,14:21,732
13,3,10:37,8
14,2,10:35,81
15,1,10:29,83
