店舗,機種,台,logic,勝率
osaka_rakuen_namba,eva,1345,logic_1,1.0
osaka_rakuen_namba,eva,1357,logic_1,1.0
osaka_rakuen_namba,eva,1358,logic_1,1.0
osaka_rakuen_namba,eva,1345,logic_2,1.0
osaka_rakuen_namba,eva,1358,logic_2,0.89
kyoto_kawaracho_king,eva,43,logic_2,0.5
kyoto_kawaracho_king,eva,77,logic_2,0.5
osaka_rakuen_namba,eva,1355,logic_1,0.5
