,大当り回数,時間,スタート回数
1,--,--,307
2,33,19:39,3
3,32,19:36,2
4,31,19:33,1
5,30,19:31,2
6,29,19:28,1
7,28,19:26,2
8,27,19:23,3
9,26,19:21,282
10,25,17:58,16
