,大当り回数,時間,スタート回数
1,--,--,104
2,23,21:08,41
3,22,20:54,36
4,21,20:41,274
5,20,19:36,104
6,19,19:32,24
7,18,19:30,3
8,17,19:28,31
9,16,19:26,57
10,15,19:24,79
11,14,19:21,21
12,13,19:20,12
13,12,19:18,77
14,11,19:11,17
15,10,19:05,433
16,9,17:46,72
17,8,17:41,11
18,7,17:39,294
19,6,16:03,539
20,5,11:28,45
21,4,11:26,23
22,3,11:23,44
23,2,11:20,303
24,1,10:13,44
