,大当り回数,時間,スタート回数
1,--,--,188
2,39,21:07,5
3,38,21:06,375
4,37,19:39,66
5,36,19:18,160
6,35,18:15,1
7,34,18:13,1
8,33,18:11,1
9,32,18:09,3
10,31,18:08,93
11,30,17:44,290
12,29,16:26,458
13,28,14:14,1
14,27,14:12,1
15,26,14:10,1
16,25,14:09,1
17,24,14:06,1
18,23,14:05,4
19,22,14:03,67
20,21,13:40,1
21,20,13:38,1
22,19,13:36,1
23,18,13:35,362
24,17,11:49,1
