,大当り回数,時間,スタート回数
1,--,--,61
2,20,21:34,332
3,19,20:09,88
4,18,19:41,26
5,17,19:39,6
6,16,19:38,37
7,15,19:36,29
8,14,19:35,7
9,13,19:33,40
10,12,19:29,84
11,11,19:25,130
12,10,18:54,79
13,9,18:48,18
14,8,18:46,442
15,7,16:39,60
16,6,16:15,155
17,5,15:34,343
18,4,13:34,108
19,3,12:27,43
20,2,12:23,61
21,1,12:17,316
