,大当り回数,時間,スタート回数
1,--,--,125
2,22,19:25,8
3,21,19:18,10
4,20,19:15,8
5,19,19:13,1369
6,18,13:23,46
7,17,13:17,25
8,16,13:13,2
9,15,13:11,176
10,14,12:09,36
11,13,12:05,12
12,12,12:01,101
13,11,11:53,26
14,10,11:52,13
15,9,11:50,97
16,8,11:47,37
17,7,11:45,39
18,6,11:43,65
19,5,11:41,7
20,4,11:40,8
21,3,11:38,40
22,2,11:34,42
23,1,11:30,158
