,大当り回数,時間,スタート回数
1,--,--,44
2,9,21:24,266
3,8,19:43,4
4,7,19:42,216
5,6,18:27,1
6,5,18:25,4
7,4,18:24,213
8,3,15:53,5
9,2,15:52,253
10,1,14:05,344
