,大当り回数,時間,スタート回数
1,--,--,1
2,14,22:02,1
3,13,22:00,1
4,12,21:59,1
5,11,21:57,1
6,10,21:55,5
7,9,21:54,65
8,8,20:54,417
9,7,16:02,1
10,6,16:00,1
11,5,15:54,512
12,4,13:15,112
13,3,12:41,159
14,2,11:55,112
15,1,10:13,25
