,大当り回数,時間,スタート回数
1,--,--,4
2,60,21:03,2
3,59,21:02,2
4,58,21:01,1
5,57,21:01,1
6,56,21:00,1
7,55,20:59,1
8,54,20:59,2
9,53,20:58,2
10,52,20:58,4
11,51,20:56,3
12,50,20:55,1
13,49,20:54,3
14,48,20:52,2
15,47,20:52,1
16,46,20:52,1
17,45,20:51,2
18,44,20:51,1
19,43,20:50,2
20,42,20:50,4
21,41,20:47,3
22,40,20:47,1
23,39,20:47,1
24,38,20:46,1
