,大当り回数,時間,スタート回数
1,--,--,165
2,11,19:34,1
3,10,19:32,1
4,9,19:30,1
5,8,19:29,1
6,7,19:27,1
7,6,19:25,951
8,5,15:12,1
9,4,15:10,1
10,3,15:07,1
11,2,15:05,952
12,1,10:26,61
