,大当り回数,時間,スタート回数
1,--,--,412
2,17,19:41,951
3,16,15:16,2
4,15,15:14,1
5,14,15:12,1
6,13,15:10,1
7,12,15:08,1
8,11,15:07,4
9,10,15:05,80
10,9,14:46,306
11,8,13:26,229
12,7,11:41,1
13,6,11:39,1
14,5,11:37,2
15,4,11:35,1
16,3,11:33,1
17,2,11:31,3
18,1,11:30,197
