,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,2457,10,2,11590,245,840,523
1,2314,8,4,3780,289,337,284
2,3138,22,7,14150,142,173,168
3,2555,18,5,21080,141,135,319
4,1765,14,3,15670,126,207,175
5,2074,10,4,7410,207,283,169
6,2793,32,4,36210,87,159,385
7,2040,9,2,10170,226,547,578
8,2601,16,6,10840,162,205,412
9,1825,8,2,8760,228,572,276
10,1621,0,0,20,--,--,1621
11,2270,10,5,6370,227,260,103
12,2851,15,6,6080,190,235,216
13,2812,27,2,32210,104,479,706
