,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,3917,30,4,22270,130,398,199
1,3598,24,4,15760,149,438,390
2,3242,15,3,17140,216,716,537
3,3157,16,4,8790,197,490,207
4,4824,39,10,26650,123,172,462
5,3906,32,7,18720,122,218,216
6,4827,45,7,45490,107,276,6
7,3965,21,7,8800,188,325,613
8,4307,28,9,17880,153,208,287
9,4310,37,7,28670,116,162,170
10,4325,30,9,19320,144,178,206
11,3884,21,7,11550,184,295,168
12,3925,30,3,32450,130,633,821
13,3749,15,9,4950,249,246,222
