,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,2555,21,4,21180,121,373,252
1,3659,21,8,12610,174,250,495
2,2044,14,2,17160,146,557,419
3,2152,17,5,17410,126,208,170
4,2832,15,4,16770,188,420,676
5,2174,8,4,5990,271,341,741
6,4442,39,6,37510,113,224,441
7,3540,26,6,20590,136,268,207
8,1904,15,3,16340,126,269,338
9,1558,6,1,7380,259,1125,787
10,2853,13,5,8760,219,349,1035
11,2438,15,4,9680,162,279,174
12,3881,33,5,29320,117,271,277
13,4367,55,5,63410,79,149,168
