,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,3584,20,7,10210,179,266,168
1,3762,27,9,16090,139,186,140
2,3391,25,6,16270,135,248,236
3,4078,27,6,26220,151,265,195
4,3542,24,5,15440,147,310,483
5,3046,15,4,13440,203,405,883
6,3183,24,5,23680,132,264,455
7,3329,12,5,6000,277,428,905
8,2831,21,4,25080,134,334,167
9,3161,17,3,12970,185,552,796
10,3536,20,7,12290,176,254,272
11,2673,22,5,19040,121,253,278
12,2873,12,5,5460,239,358,204
13,2921,9,4,4600,324,558,823
