,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,4557,26,6,17660,175,357,176
1,3307,17,6,8750,194,279,174
2,4006,26,9,11920,154,202,378
3,5366,41,12,24670,130,147,180
4,4332,28,5,24480,154,284,391
5,4753,37,7,32310,128,233,864
6,3692,15,6,5980,246,366,169
7,2970,10,6,5980,297,313,154
8,3284,14,5,6020,234,405,204
9,3334,23,7,12720,144,200,168
10,3793,24,7,14060,158,250,558
11,3486,31,5,31820,112,204,132
12,3786,17,7,7360,222,299,805
13,3931,25,6,16580,157,351,103
