,大当り回数,時間,スタート回数
1,--,--,124
2,31,17:59,43
3,30,17:57,27
4,29,17:54,30
5,28,17:50,25
6,27,17:48,229
7,26,16:28,15
8,25,16:26,10
9,24,16:22,3
10,23,16:16,20
11,22,16:14,10
12,21,16:13,4
13,20,16:12,10
14,19,16:10,54
15,18,16:08,30
16,17,16:06,21
17,16,16:05,6
18,15,16:03,8
19,14,16:02,34
20,13,16:01,50
21,12,15:59,15
22,11,15:57,28
23,10,15:55,25
24,9,15:54,2
