,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1387,3868,70,9,72830,55,--,74
1,1388,2450,22,3,20650,111,--,125
2,1389,2778,25,7,13720,111,--,173
3,1390,2695,24,6,19500,112,--,120
4,1391,2467,14,7,8800,176,--,929
5,1392,2708,15,6,10190,180,--,415
6,1393,3001,27,9,17460,111,--,19
7,1394,2792,27,6,14880,103,--,350
8,1395,2338,12,2,13940,194,--,317
9,1396,3259,40,9,40600,81,--,600
10,1397,2688,23,8,15380,116,--,104
11,1398,3026,17,6,13810,178,--,326
12,1399,2547,36,8,27960,70,--,67
13,1400,2802,37,7,34500,75,--,132
14,1401,2008,4,4,430,502,--,318
15,1402,2968,36,5,35800,82,--,106
16,1403,2266,20,5,15940,113,--,752
17,1404,2371,25,6,26950,94,--,469
18,1405,2445,24,3,27970,101,--,211
19,1406,2284,4,4,540,571,--,480
20,1407,2377,9,5,4650,264,--,260
21,1408,3307,51,8,45130,64,--,234
22,1409,2377,19,7,15710,125,--,243
23,1410,1962,7,4,5600,280,--,130
