,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1387,2432,13,3,10140,187,--,815
1,1388,2230,0,0,20,--,--,2230
2,1389,3897,39,12,24140,99,--,72
3,1390,2780,22,7,16130,126,--,214
4,1391,2762,28,5,25460,98,--,132
5,1392,2713,43,5,41040,63,--,256
6,1393,2285,25,7,24200,91,--,17
7,1394,2778,25,11,11200,111,--,142
8,1395,2477,12,6,4850,206,--,46
9,1396,2465,20,9,13950,123,--,61
10,1397,2544,56,6,64820,45,--,71
11,1398,2636,18,10,9200,146,--,--
12,1399,2140,9,3,5970,237,--,129
13,1400,2721,21,4,21230,129,--,430
14,1401,2287,8,5,3210,285,--,571
15,1402,2758,25,7,25120,110,--,51
16,1403,2932,19,5,11290,154,--,83
17,1404,2056,4,4,440,514,--,300
18,1405,4133,67,11,65440,61,--,95
19,1406,2196,17,6,14120,129,--,552
20,1407,2830,7,4,4560,404,--,2044
21,1408,2962,25,5,21780,118,--,199
22,1409,2400,6,4,3230,400,--,1305
23,1410,2845,25,5,18830,113,--,777
