,大当り回数,時間,スタート回数
1,--,--,387
2,22,19:08,107
3,21,18:38,1
4,20,18:36,1
5,19,18:35,1
6,18,18:32,3
7,17,18:31,117
8,16,18:01,235
9,15,16:36,1
10,14,16:33,1
11,13,16:31,1
12,12,16:28,1
13,11,16:26,4
14,10,16:25,133
15,9,15:45,1
16,8,15:43,1
17,7,15:40,2
18,6,15:39,410
19,5,13:36,230
20,4,12:35,1
21,3,12:32,1
22,2,12:30,3
23,1,12:28,379
