,大当り回数,時間,スタート回数
1,--,--,218
2,12,21:06,272
3,11,19:55,1
4,10,19:53,1
5,9,19:50,1
6,8,19:49,1
7,7,19:47,5
8,6,19:45,70
9,5,19:17,752
10,4,14:29,1
11,3,14:27,951
12,2,10:18,3
13,1,10:17,39
