,大当り回数,時間,スタート回数
1,--,--,1440
2,12,16:31,129
3,11,15:09,89
4,10,14:43,3
5,9,14:42,65
6,8,14:39,6
7,7,14:37,27
8,6,14:34,29
9,5,14:30,137
10,4,13:35,23
11,3,13:23,307
12,2,11:50,82
13,1,11:14,208
