,大当り回数,時間,スタート回数
1,--,--,243
2,19,19:31,533
3,18,17:33,63
4,17,17:13,249
5,16,16:25,194
6,15,15:15,217
7,14,14:12,65
8,13,14:10,59
9,12,14:07,39
10,11,14:04,11
11,10,14:03,16
12,9,14:01,29
13,8,14:00,14
14,7,13:57,8
15,6,13:54,96
16,5,13:51,282
17,4,11:47,19
18,3,11:45,43
19,2,11:41,15
20,1,11:39,182
