,大当り回数,時間,スタート回数
1,--,--,317
2,12,19:16,64
3,11,19:13,3
4,10,19:12,16
5,9,19:10,95
6,8,19:07,5
7,7,19:06,100
8,6,19:03,205
9,5,18:58,35
10,4,18:54,22
11,3,18:52,958
12,2,12:41,18
13,1,12:38,500
