,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2569,21,7,13110,122,--,636
1,1186,2611,19,9,8410,137,--,53
2,1187,2326,15,7,8840,155,--,308
3,1188,2676,35,9,22660,76,--,303
4,1189,2126,32,8,17800,66,--,38
5,1190,1859,19,7,10180,97,--,41
6,1191,2055,23,6,17300,89,--,171
7,1192,2116,18,6,12340,117,--,115
8,1193,2392,14,4,9790,170,--,711
9,1194,2219,48,9,34660,46,--,84
10,1195,2555,3,2,2790,851,--,677
11,1196,2533,27,7,16840,93,--,375
12,1197,2269,29,6,19150,78,--,303
13,1198,2498,11,4,8580,227,--,17
14,1199,2099,27,7,19720,77,--,26
15,1200,2258,45,9,35720,50,--,156
16,1201,1981,30,9,17570,66,--,26
17,1202,2185,23,4,17460,95,--,129
18,1203,2241,36,11,16040,62,--,84
19,1204,2269,43,7,37140,52,--,435
20,1205,2085,15,10,3200,139,--,195
21,1206,2351,25,5,18720,94,--,160
22,1207,1701,29,9,17690,58,--,392
23,1208,2722,24,9,12650,113,--,--
