,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,1248,8,3,4730,156,--,1
1,1186,1233,7,3,6950,176,--,62
2,1187,1011,12,1,15850,84,--,232
3,1188,1280,3,1,3230,426,--,690
4,1189,1413,12,3,7380,117,--,52
5,1190,1320,12,5,10440,110,--,204
6,1191,1332,7,2,8470,190,--,195
7,1192,1070,17,4,18000,62,--,56
8,1193,1292,9,4,7440,143,--,306
9,1194,1284,21,5,17900,61,--,412
10,1195,1213,18,2,22980,67,--,30
11,1196,1323,9,5,5980,147,--,374
12,1197,1156,32,2,42150,36,--,348
13,1198,1419,12,5,7070,118,--,772
14,1199,1153,6,3,4470,192,--,123
15,1200,1380,12,2,10310,115,--,670
16,1201,1109,22,4,16230,50,--,220
17,1202,1060,34,5,40100,31,--,1
18,1203,1315,10,2,12650,131,--,197
19,1204,946,26,6,25280,36,--,77
20,1205,1075,23,2,29940,46,--,270
21,1206,994,18,7,15470,55,--,--
22,1207,1006,7,4,3240,143,--,470
23,1208,1021,2,2,620,510,--,902
