,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,1981,21,7,9970,94,--,313
1,1186,1755,32,8,22760,54,--,30
2,1187,2198,27,8,15480,81,--,589
3,1188,2142,27,7,24340,79,--,13
4,1189,2358,21,5,16760,112,--,228
5,1190,2040,8,5,3340,255,--,17
6,1191,1912,23,7,11610,83,--,--
7,1192,2062,23,7,10030,89,--,409
8,1193,2194,17,5,9400,129,--,412
9,1194,1908,18,7,8690,106,--,64
10,1195,2140,38,12,12820,56,--,--
11,1196,2352,49,11,25250,48,--,--
12,1197,2222,31,7,19920,71,--,16
13,1198,2513,19,8,7160,132,--,622
14,1199,2149,36,11,27920,59,--,156
15,1200,2286,33,9,20360,69,--,132
16,1201,2022,39,6,37460,51,--,309
17,1202,2329,13,9,4620,179,--,386
18,1203,1903,17,4,13160,111,--,73
19,1204,2177,25,7,16640,87,--,287
20,1205,1913,19,8,9450,100,--,72
21,1206,2507,33,9,17170,75,--,254
22,1207,2071,23,5,21270,90,--,368
23,1208,2290,32,10,19920,71,--,121
