,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2017,23,10,8330,87,--,300
1,1186,1756,37,8,35950,47,--,295
2,1187,1483,43,7,40230,34,--,404
3,1188,1865,36,10,20340,51,--,1
4,1189,2466,25,9,16320,98,--,384
5,1190,913,29,5,28230,31,--,146
6,1191,2079,8,6,2880,259,--,83
7,1192,1594,36,8,28670,44,--,--
8,1193,2308,18,3,21610,128,--,163
9,1194,1841,13,7,4620,141,--,25
10,1195,2015,23,6,16700,87,--,431
11,1196,2720,14,8,3600,194,--,33
12,1197,2241,25,5,26590,89,--,4
13,1198,2799,7,5,3220,399,--,--
14,1199,1901,24,6,10160,79,--,123
15,1200,1966,4,4,450,491,--,157
16,1201,1745,10,5,7740,174,--,34
17,1202,2296,37,4,44860,62,--,433
18,1203,1410,39,8,34150,36,--,58
19,1204,1654,37,3,36390,44,--,51
20,1205,2471,11,5,4580,224,--,128
21,1206,2340,11,5,7020,212,--,272
22,1207,1764,42,7,36430,42,--,--
23,1208,2038,31,7,19870,65,--,--
