,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1387,0,0,0,0,--,--,--
1,1388,993,61,3,27490,16,--,112
2,1389,1164,4,4,630,291,--,1
3,1390,1870,43,4,19420,43,--,344
4,1391,1435,1,1,630,1435,--,291
5,1392,979,28,3,10020,34,--,327
6,1393,982,4,4,790,245,--,160
7,1394,954,12,4,2160,79,--,44
8,1395,525,7,2,3240,75,--,216
9,1396,2517,65,4,21050,38,--,106
10,1397,461,22,2,8600,20,--,293
11,1398,830,2,2,620,415,--,19
12,1399,1115,100,4,34870,11,--,4
13,1400,1624,25,3,7020,64,--,426
14,1401,1071,24,4,4930,44,--,146
15,1402,1260,37,4,10900,34,--,130
16,1403,1399,49,3,17720,28,--,93
17,1404,1582,56,5,17360,28,--,37
18,1405,1491,31,4,14490,48,--,219
19,1406,1920,4,1,1530,480,--,911
20,1407,461,8,1,4010,57,--,114
21,1408,2500,96,10,20660,26,--,443
22,1409,2403,18,6,4090,133,--,50
23,1410,2483,36,9,8450,68,--,124
