,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2036,19,3,9800,107,--,--
1,1186,2227,44,8,36620,50,--,--
2,1187,2595,30,8,17130,86,--,613
3,1188,2104,7,3,4100,300,--,--
4,1189,1892,26,7,19410,72,--,24
5,1190,2022,12,6,8400,168,--,528
6,1191,2186,13,4,11540,168,--,--
7,1192,1992,36,6,24100,55,--,386
8,1193,1834,37,12,18330,49,--,64
9,1194,2553,23,5,17680,111,--,156
10,1195,1701,11,6,3250,154,--,12
11,1196,2445,45,10,29460,54,--,--
12,1197,2482,23,5,11100,107,--,319
13,1198,2300,24,6,15230,95,--,346
14,1199,2090,26,5,26060,80,--,58
15,1200,2512,13,7,6820,193,--,374
16,1201,1715,21,6,13110,81,--,116
17,1202,1949,41,8,34050,47,--,40
18,1203,2435,29,7,19870,83,--,95
19,1204,2166,38,11,27210,57,--,296
20,1205,1526,33,6,33730,46,--,202
21,1206,2416,10,6,4640,241,--,479
22,1207,2356,14,5,10260,168,--,495
23,1208,2078,50,9,46140,41,--,--
