,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,1775,47,10,37010,37,--,34
1,1186,2378,37,6,23630,64,--,--
2,1187,2137,38,8,20150,56,--,--
3,1188,2010,21,6,10470,95,--,89
4,1189,2244,36,7,31350,62,--,474
5,1190,2249,24,6,14050,93,--,--
6,1191,2025,19,4,19980,106,--,343
7,1192,2092,56,8,45660,37,--,--
8,1193,1823,33,7,17850,55,--,12
9,1194,2058,28,10,17870,73,--,155
10,1195,1908,56,8,56820,34,--,79
11,1196,1989,13,4,10110,153,--,4
12,1197,2291,21,6,11610,109,--,271
13,1198,2340,18,9,6060,130,--,28
14,1199,2284,16,5,9920,142,--,--
15,1200,2259,37,10,30110,61,--,29
16,1201,2059,24,8,14500,85,--,3
17,1202,2309,23,7,9300,100,--,14
18,1203,1836,15,8,6370,122,--,190
19,1204,1873,34,5,24060,55,--,9
20,1205,1837,54,6,61080,34,--,250
21,1206,2053,13,8,5890,157,--,495
22,1207,1753,12,4,11540,146,--,109
23,1208,2017,50,9,45540,40,--,76
