,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2553,7,5,2820,364,--,251
1,1186,2290,19,8,11230,120,--,584
2,1187,2052,32,7,26060,64,--,249
3,1188,2043,34,8,26200,60,--,--
4,1189,1767,34,4,35050,51,--,--
5,1190,2114,23,7,14860,91,--,395
6,1191,1948,8,5,4690,243,--,390
7,1192,1976,7,4,4710,282,--,154
8,1193,1419,17,4,15560,83,--,88
9,1194,2158,32,4,40380,67,--,278
10,1195,1313,11,2,13330,119,--,8
11,1196,1918,25,5,24780,76,--,723
12,1197,2099,18,7,8830,116,--,174
13,1198,1726,26,5,12950,66,--,23
14,1199,2358,13,6,8920,181,--,491
15,1200,2315,12,5,7440,192,--,218
16,1201,1708,30,7,21300,56,--,133
17,1202,1503,18,7,15980,83,--,74
18,1203,2687,20,7,12030,134,--,121
19,1204,1752,43,8,34670,40,--,176
20,1205,1547,23,9,10010,67,--,--
21,1206,1873,40,6,33010,46,--,199
22,1207,1758,11,7,4660,159,--,39
23,1208,2171,27,12,13440,80,--,149
