,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1387,1578,54,4,19740,29,--,4
1,1388,651,22,3,6730,29,--,217
2,1389,1628,31,5,5260,52,--,22
3,1390,287,1,1,620,287,--,179
4,1391,1686,108,7,33720,15,--,25
5,1392,1308,25,3,9120,52,--,100
6,1393,1510,106,5,35910,14,--,133
7,1394,683,16,1,6420,42,--,66
8,1395,1700,8,4,2450,212,--,66
9,1396,1270,7,3,1860,181,--,562
10,1397,1402,17,3,4000,82,--,76
11,1398,1692,56,9,10420,30,--,20
12,1399,923,1,1,610,923,--,368
13,1400,741,62,2,21090,11,--,41
14,1401,1711,111,8,41090,15,--,138
15,1402,208,3,1,1260,69,--,165
16,1403,1319,72,7,19260,18,--,122
17,1404,1211,42,5,13700,28,--,663
18,1405,1378,3,2,920,459,--,882
19,1406,1628,47,6,8390,34,--,5
20,1407,1068,14,4,3800,76,--,376
21,1408,2157,59,6,11400,36,--,66
22,1409,1883,19,4,3790,99,--,18
23,1410,727,9,2,3390,80,--,205
