,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1387,0,0,0,0,--,--,--
1,1388,612,12,1,5280,51,--,78
2,1389,2135,42,6,14400,50,--,340
3,1390,906,20,7,6440,45,--,11
4,1391,561,1,1,630,561,--,111
5,1392,312,1,1,620,312,--,236
6,1393,348,11,3,2460,31,--,65
7,1394,829,36,4,10820,23,--,65
8,1395,1690,8,4,1870,211,--,172
9,1396,1112,15,4,3080,74,--,67
10,1397,794,2,2,630,397,--,286
11,1398,740,1,1,620,740,--,474
12,1399,1622,56,7,13560,28,--,134
13,1400,930,19,1,9860,48,--,17
14,1401,936,18,2,5840,52,--,33
15,1402,579,2,2,610,289,--,260
16,1403,1185,49,1,18450,24,--,81
17,1404,168,1,1,630,168,--,71
18,1405,1881,18,6,4160,104,--,19
19,1406,359,0,0,10,--,--,359
20,1407,996,8,3,2150,124,--,71
21,1408,603,12,3,3410,50,--,262
22,1409,1400,31,7,6780,45,--,4
23,1410,931,26,3,11460,35,--,435
