,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2113,7,4,3190,301,--,98
1,1186,1582,16,8,7600,98,--,21
2,1187,1328,28,5,29290,47,--,331
3,1188,1588,10,4,5600,158,--,--
4,1189,2278,51,12,38830,44,--,--
5,1190,1000,5,4,1840,200,--,136
6,1191,1526,10,6,4610,152,--,140
7,1192,1552,7,4,3200,221,--,64
8,1193,1806,16,5,14220,112,--,--
9,1194,1658,14,2,13930,118,--,470
10,1195,1693,16,7,12850,105,--,135
11,1196,1671,24,7,15990,69,--,693
12,1197,2319,4,4,450,579,--,39
13,1198,1069,16,3,18140,66,--,4
14,1199,1881,23,5,14650,81,--,41
15,1200,1953,42,6,42350,46,--,247
16,1201,1838,16,1,21380,114,--,952
17,1202,1007,36,4,35360,27,--,114
18,1203,1664,21,7,9290,79,--,40
19,1204,993,8,5,4450,124,--,3
20,1205,1663,35,11,19950,47,--,59
21,1206,1272,10,3,6230,127,--,341
22,1207,990,4,2,3190,247,--,3
23,1208,2043,29,12,10310,70,--,--
