,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2185,12,8,4050,182,--,343
1,1186,2351,26,7,27410,90,--,240
2,1187,2272,40,6,25030,56,--,78
3,1188,2518,7,4,3260,359,--,4
4,1189,2378,37,8,27360,64,--,49
5,1190,2290,18,5,16960,127,--,205
6,1191,2290,20,9,8720,114,--,--
7,1192,2300,47,12,30510,48,--,--
8,1193,2137,11,3,8330,194,--,165
9,1194,2188,35,6,40580,62,--,36
10,1195,2156,21,8,11040,102,--,152
11,1196,1989,5,4,1830,397,--,--
12,1197,2237,33,8,16630,67,--,5
13,1198,2708,15,9,3170,180,--,749
14,1199,2138,43,11,38010,49,--,445
15,1200,2444,20,6,10070,122,--,137
16,1201,2362,20,6,18600,118,--,525
17,1202,2653,20,8,6930,132,--,143
18,1203,2274,10,5,5500,227,--,162
19,1204,2078,34,6,21280,61,--,--
20,1205,2193,39,8,25170,56,--,268
21,1206,2324,24,7,15770,96,--,108
22,1207,2359,28,10,19250,84,--,214
23,1208,2417,25,9,14340,96,--,397
