,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2414,8,5,4160,301,--,205
1,1186,2163,6,6,590,360,--,170
2,1187,2017,8,2,7140,252,--,367
3,1188,2386,7,4,4650,340,--,505
4,1189,2055,61,6,73450,33,--,743
5,1190,1732,24,6,24240,72,--,580
6,1191,2464,11,7,4660,224,--,7
7,1192,1872,39,6,27270,48,--,245
8,1193,1895,38,9,20890,49,--,90
9,1194,1727,21,7,12380,82,--,--
10,1195,1867,22,4,20140,84,--,313
11,1196,1998,50,13,42000,39,--,15
12,1197,2240,18,7,7390,124,--,391
13,1198,2310,11,5,6610,210,--,621
14,1199,1784,86,14,85670,20,--,19
15,1200,1981,16,7,11020,123,--,239
16,1201,2318,6,5,1840,386,--,713
17,1202,2538,24,9,11140,105,--,--
18,1203,2300,35,11,19730,65,--,102
19,1204,1737,26,6,24570,66,--,431
20,1205,2179,33,6,27200,66,--,123
21,1206,2180,16,8,4460,136,--,28
22,1207,1871,26,5,21250,71,--,153
23,1208,2117,13,8,3250,162,--,201
