,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,2234,24,5,14400,93,--,105
1,1186,2031,33,8,20620,61,--,89
2,1187,2190,26,7,20360,84,--,93
3,1188,2001,39,4,35810,51,--,293
4,1189,1874,17,3,18240,110,--,589
5,1190,2297,52,11,40010,44,--,264
6,1191,2054,32,9,21540,64,--,22
7,1192,2079,18,4,19720,115,--,26
8,1193,1943,42,10,38300,46,--,22
9,1194,2334,23,7,15720,101,--,251
10,1195,2351,39,9,30510,60,--,188
11,1196,2131,7,3,5620,304,--,318
12,1197,2438,14,7,6120,174,--,49
13,1198,2552,27,10,15220,94,--,112
14,1199,2380,28,8,18730,85,--,43
15,1200,2243,21,7,8770,106,--,119
16,1201,2379,35,8,30220,67,--,233
17,1202,2269,10,4,4580,226,--,78
18,1203,2028,41,9,30000,49,--,52
19,1204,2182,37,9,27490,58,--,112
20,1205,2105,22,8,18890,95,--,120
21,1206,2232,23,7,11800,97,--,--
22,1207,2577,23,9,8990,112,--,12
23,1208,2244,26,6,19560,86,--,162
