,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,1417,12,5,7530,118,--,236
1,1186,2066,20,9,8270,103,--,--
2,1187,1839,30,7,24320,61,--,411
3,1188,1987,29,8,26490,68,--,74
4,1189,1817,28,6,22050,64,--,214
5,1190,1520,10,8,1830,152,--,172
6,1191,2180,10,6,3230,218,--,264
7,1192,1617,30,4,35220,53,--,202
8,1193,1428,52,6,57040,27,--,420
9,1194,1925,30,6,22920,64,--,93
10,1195,1679,47,10,38920,35,--,5
11,1196,2046,36,8,20220,56,--,199
12,1197,2426,18,5,8790,134,--,--
13,1198,1731,11,6,5640,157,--,112
14,1199,1796,12,5,8770,149,--,51
15,1200,2148,6,3,4860,358,--,418
16,1201,2194,31,4,23450,70,--,68
17,1202,1930,22,8,12330,87,--,113
18,1203,2415,27,11,12110,89,--,--
19,1204,1620,11,5,8890,147,--,118
20,1205,1469,25,10,19170,58,--,147
21,1206,1818,46,5,49110,39,--,19
22,1207,1932,30,5,22080,64,--,78
23,1208,2387,18,6,8270,132,--,89
