,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,1683,33,5,22360,51,--,25
1,1186,2188,14,6,7350,156,--,70
2,1187,1330,42,7,42370,31,--,62
3,1188,1578,40,7,37380,39,--,--
4,1189,1774,18,5,14400,98,--,--
5,1190,1847,7,5,3160,263,--,90
6,1191,1829,39,7,38930,46,--,243
7,1192,2340,29,7,15270,80,--,--
8,1193,1383,37,5,32010,37,--,9
9,1194,2321,22,6,14100,105,--,453
10,1195,1880,19,5,15850,98,--,13
11,1196,1696,5,5,1400,339,--,243
12,1197,1932,9,6,4120,214,--,59
13,1198,1866,35,11,25000,53,--,64
14,1199,1518,27,4,18650,56,--,41
15,1200,2065,8,7,1860,258,--,599
16,1201,2165,8,5,3240,270,--,11
17,1202,1957,34,5,28040,57,--,2
18,1203,1566,54,7,60430,29,--,52
19,1204,1738,33,7,25060,52,--,--
20,1205,1732,29,3,29870,59,--,81
21,1206,1747,36,5,35240,48,--,72
22,1207,1626,31,6,23060,52,--,--
23,1208,1555,36,6,32020,43,--,--
