,大当り回数,時間,スタート回数
1,--,--,83
2,19,21:37,147
3,18,21:05,42
4,17,21:03,22
5,16,20:59,4
6,15,20:57,44
7,14,20:50,15
8,13,20:47,654
9,12,17:48,562
10,11,14:53,119
11,10,14:47,49
12,9,14:43,4
13,8,14:41,189
14,7,13:39,63
15,6,13:36,114
16,5,13:34,36
17,4,13:32,15
18,3,13:30,25
19,2,13:26,7
20,1,13:23,738
