,大当り回数,時間,スタート回数
1,--,--,135
2,39,21:31,21
3,38,21:29,138
4,37,20:48,56
5,36,20:43,158
6,35,20:03,46
7,34,19:57,138
8,33,19:54,20
9,32,19:51,9
10,31,19:50,6
11,30,19:49,60
12,29,19:46,16
13,28,19:44,1
14,27,19:43,5
15,26,19:42,12
16,25,19:40,12
17,24,19:38,20
